取引先CD,取引先名1,営業担当者CD,営業担当者名,集計項目CD,集計項目名
001332,銀座HALｸﾘﾆｯｸ,000007,小林,000002,B（残置）
001333,株式会社ﾌﾚﾝﾄﾞ,000012,サン・テクノ,000003,C（解体）
001334,株式会社晃立設備,000004,山本,000003,C（解体）
001335,袖山興業,000006,川部,000003,C（解体）
001336,株式会社ｱｶﾈ,000004,山本,000004,D（建設）
001337,株式会社ｻﾝ・ﾌｧﾐﾘｰ,000005,今村（紀）,000001,A（事業）
001338,中央区大江戸まつり実行委員会,000005,今村（紀）,,
001339,株式会社京葉ﾒｶﾆｯｸ,000006,川部,000003,C（解体）
001340,株式会社新光,000007,小林,000003,C（解体）
001341,株式会社N＆K,000002,渡辺,000001,A（事業）
001342,株式会社ﾘﾋﾞﾙ,000012,サン・テクノ,000004,D（建設）
001343,鹿島道路株式会社,,,,
001344,InaKin株式会社,000002,渡辺,000006,F（他）
001345,株式会社こころ家,000006,川部,000002,B（残置）
001346,広いｲﾃｹﾞﾙ合同会社,000007,小林,000003,C（解体）
001347,株式会社魁興業,000002,渡辺,000003,C（解体）
001348,有限会社大沢ﾌｰｽﾞ,000004,山本,,
001349,有限会社ﾜｲｴﾇｴｽ,000008,新木場工場,,
001350,株式会社福田組　東京本店,000002,渡辺,000004,D（建設）
001351,株式会社ﾃｸﾉﾌﾟﾛ,000002,渡辺,000003,C（解体）
001352,株式会社My　Style　Agent,000013,かねたや,,
001353,修美堂株式会社,000007,小林,000002,B（残置）
001354,株式会社小林土木重機,000010,メタウォーター,,
001355,株式会社柳澤工業,000007,小林,000003,C（解体）
001356,株式会社OS,000006,川部,000004,D（建設）
001357,山田真樹生,000001,矢作,,
001358,ｻｳｽﾛｰﾄﾞ企画株式会社,000005,今村（紀）,,
001359,株式会社EG-PUENTE,000007,小林,000003,C（解体）
001360,株式会社健栄,000005,今村（紀）,000003,C（解体）
001361,株式会社丸伍企画,000012,サン・テクノ,000004,D（建設）
001362,株式会社大建,000005,今村（紀）,000003,C（解体）
001363,株式会社ｼﾝｶ,000002,渡辺,000003,C（解体）
001364,株式会社ﾏｷｼﾑ,000001,矢作,,
001365,有限会社新井建材,000007,小林,000003,C（解体）
001366,日本郵政ｺｰﾎﾟﾚｰﾄｻｰﾋﾞｽ株式会社,000007,小林,000006,F（他）
001367,株式会社三信ﾃｯｸ,000007,小林,000003,C（解体）
001368,ｷｬﾝﾊﾞｽｲﾚﾌﾞﾝ,000001,矢作,000001,A（事業）
001369,日天株式会社,000006,川部,000004,D（建設）
001370,三木工務店,000002,渡辺,000004,D（建設）
001371,株式会社東江ﾃｸﾆｶ,000012,サン・テクノ,000001,A（事業）
001372,株式会社ｻﾝｸｻﾎﾟｰﾄ,000005,今村（紀）,000002,B（残置）
001373,株式会社虎建,000012,サン・テクノ,000004,D（建設）
001374,ｳｨﾝ･ｳｨﾝ株式会社,000007,小林,000003,C（解体）
001375,常盤工業株式会社,000002,渡辺,000004,D（建設）
001376,柿沼電気管理事務所,000005,今村（紀）,000001,A（事業）
001377,株式会社ﾌﾟﾘﾝﾄﾜｰｸｽ,000002,渡辺,000006,F（他）
001378,信和鋼材株式会社,000009,新木場ヤード,,
001379,青木商会,000002,渡辺,000006,F（他）
001380,株式会社佐々木興業,000007,小林,000003,C（解体）
001381,小林ｽﾎﾟｯﾄ,000007,小林,000003,C（解体）
001382,株式会社浅田建設,000007,小林,000003,C（解体）
001383,株式会社森組,000005,今村（紀）,,
001384,株式会社ﾀｶﾃｯｸ,000012,サン・テクノ,000006,F（他）
001385,株式会社高大,000012,サン・テクノ,000006,F（他）
001386,株式会社DERSIM,000003,蛯子,000003,C（解体）
001387,株式会社北総運輸,000006,川部,000006,F（他）
001388,家島建設株式会社,000002,渡辺,000004,D（建設）
001389,株式会社　坂口,000005,今村（紀）,000001,A（事業）
001390,有限会社一橋商店,000012,サン・テクノ,000003,C（解体）
001391,株式会社ﾊﾟﾅ・ｹﾐｶﾙ,000007,小林,000002,B（残置）
001392,株式会社ﾚﾝﾄ,,,,
001393,東京造形美術株式会社,000007,小林,000002,B（残置）
001394,株式会社松武空調ｻｰﾋﾞｽ,000011,オネスト・ワン,000001,A（事業）
001395,株式会社木村建設,,,,
001396,rise株式会社,000007,小林,000002,B（残置）
001397,株式会社ｳﾞｧﾘｱｽ,000003,蛯子,000002,B（残置）
001398,ﾀﾞｯｿｰ･ｼｽﾃﾑｽﾞ株式会社,000002,渡辺,000002,B（残置）
001399,株式会社ｸﾞﾗｰｸｽ,,,,
001400,株式会社Dｶﾝﾊﾟﾆｰ,000007,小林,000003,C（解体）
001401,株式会社ｻﾞﾅ,000005,今村（紀）,000002,B（残置）
001402,大林道路株式会社千葉りんかいｱｽｺﾝ,,,,
001403,ﾌｪﾗｶﾞﾓ・ｼﾞｬﾊﾟﾝ株式会社,000007,小林,000002,B（残置）
001404,TAKEMURA,000011,オネスト・ワン,000002,B（残置）
001405,ｳｴﾉﾃｯｸｽ株式会社,000002,渡辺,000003,C（解体）
001406,双日建材株式会社,000001,矢作,,
001407,株式会社ﾃｲｸﾌｫｰ,000007,小林,000002,B（残置）
001408,NKｲﾝﾀｰﾅｼｮﾅﾙ株式会社,000007,小林,000002,B（残置）
001409,株式会社めぐりあい,000012,サン・テクノ,000002,B（残置）
001410,株式会社舟岡製作所,000007,小林,000003,C（解体）
001411,株式会社Youtility,000006,川部,000001,A（事業）
001412,株式会社オオツカ,000001,矢作,,
001413,小金井市役所,000007,小林,000006,F（他）
001414,武田興業株式会社,000012,サン・テクノ,000002,B（残置）
001415,株式会社ｴﾑﾃｨ工業,000003,蛯子,000001,A（事業）
001416,田端運輸株式会社,000003,蛯子,000001,A（事業）
001417,絹川屋運送株式会社,000002,渡辺,000006,F（他）
001418,江理口歯科医院,000005,今村（紀）,,
001419,株式会社ｸﾎﾞﾀ,000005,今村（紀）,000004,D（建設）
00141K,株式会社荒井商店,000008,新木場工場,,
001420,株式会社錦江,000007,小林,000003,C（解体）
001421,共和商事株式会社,000006,川部,000003,C（解体）
001422,便利屋ﾌｧﾐﾘｰ江戸川店,000012,サン・テクノ,000006,F（他）
001423,株式会社浜田,000008,新木場工場,,
001424,株式会社ｺﾐﾔ,000004,山本,000002,B（残置）
001425,株式会社ｺﾞｰﾙﾄﾞﾗｯｼｭ24,,,,
001426,株式会社ﾀﾂﾐ建装,000007,小林,,
001427,医療法人社団楽森会,000007,小林,,
001428,大和財託株式会社,000007,小林,,
001429,株式会社栄,000007,小林,,
001430,株式会社ｱｾﾞｶﾞﾐ,000002,渡辺,000001,A（事業）
001432,合同会社　壮挺,000004,山本,,
001433,医療法人丸山成一美容外科,000007,小林,,
001434,公益財団法人文京ｱｶﾃﾞﾐｰ,000006,川部,000001,A（事業）
001435,株式会社米山興業,000007,小林,000003,C（解体）
001436,有限会社ﾌﾛﾝﾃｨｱ貿易,000007,小林,,
001437,ｽﾊﾞﾙ興業株式会社千駄ヶ谷事業所,000005,今村（紀）,,
001438,新日本空調株式会社,000011,オネスト・ワン,000003,C（解体）
001439,株式会社いさみや,000007,小林,,
001440,株式会社ｸﾘﾆｶﾙｻﾎﾟｰﾄ,000007,小林,,
001441,株式会社河野解体工業,,,,
001442,Goodwanna有限会社,000007,小林,,
001443,株式会社ﾆｹﾌﾟﾛｼﾞｪｸﾄ,000007,小林,000002,B（残置）
001444,東京都生活文化ｽﾎﾟｰﾂ局,000007,小林,000005,E（中・積)
001445,株式会社齋藤工務店,000006,川部,000002,B（残置）
001446,株式会社鉄信,000007,小林,000004,D（建設）
001447,有限会社入船運輸,000004,山本,000001,A（事業）
001449,東京都環境局,000007,小林,000005,E（中・積)
001450,寛政鉄工株式会社,000005,今村（紀）,,
001451,株式会社wave,000002,渡辺,000004,D（建設）
001452,株式会社ﾕｱｰｽﾞｽﾀｲﾙ,000005,今村（紀）,000002,B（残置）
001453,日本郵便株式会社,000007,小林,000001,A（事業）
001454,ﾕｰﾃｨﾘﾃｨｰｻｰﾋﾞｽ,000012,サン・テクノ,000003,C（解体）
001455,ｼｰｱﾝﾄﾞｼﾞｪｲ・ｲﾝﾀｰﾅｼｮﾅﾙ株式会社,000012,サン・テクノ,000003,C（解体）
001456,株式会社彩和,000001,矢作,000003,C（解体）
001457,ﾌｧｰｽﾄﾋﾞﾙｻｰﾋﾞｽ株式会社,000006,川部,000003,C（解体）
001458,晴海ﾋﾞｭｰﾀﾜｰ管理事務所,000005,今村（紀）,000001,A（事業）
001459,井筒屋,000005,今村（紀）,,
001460,東京ヴェルディ株式会社,,,,
001461,株式会社創栄,000007,小林,,
001462,株式会社ｴｺﾛﾃｯｸ,000006,川部,000004,D（建設）
001463,有限会社ｵﾘｴﾝﾄ綜合企画,000002,渡辺,000002,B（残置）
001464,株式会社FM,000008,新木場工場,,
001465,株式会社ｹﾞﾝﾄﾞｳ,000007,小林,000002,B（残置）
001466,有限会社大一総業,000004,山本,000003,C（解体）
001467,永優ﾘﾌｫｰﾑ解体,000007,小林,000003,C（解体）
001468,株式会社ｺｱ･ﾌﾞﾚｲﾝ,000012,サン・テクノ,000003,C（解体）
001470,株式会社IUK,000002,渡辺,000002,B（残置）
001471,RANPS株式会社,000011,オネスト・ワン,000003,C（解体）
001472,株式会社MGL,000007,小林,000003,C（解体）
001473,有限会社清水鳶工業,000002,渡辺,000003,C（解体）
001474,日本ｺﾝﾃｯｸ,000007,小林,,
001475,有限会社ｲﾗｲﾀﾞ,000005,今村（紀）,000003,C（解体）
001476,株式会社ｴｺ･ｴｰ,000007,小林,000003,C（解体）
001477,株式会社廣瀬機工,000004,山本,,
001478,大関商品研究所,000007,小林,000002,B（残置）
001479,六貴ﾎｰﾑ合同会社,000005,今村（紀）,000002,B（残置）
001481,ﾋﾟｭｱｸﾘｰﾝﾎｰﾑｻｰﾋﾞｽ,000012,サン・テクノ,000002,B（残置）
001482,東京都東京港建設事務所,000005,今村（紀）,,
001483,株式会社林技建,000007,小林,000003,C（解体）
001484,株式会社ご縁,000002,渡辺,000004,D（建設）
001485,東京湾建設事務所海岸整備課長,000005,今村（紀）,,
001486,ﾒﾃﾞｨﾃﾞｰﾀ･ｿﾘｭｰｼｮﾝｽﾞ株式会社,000002,渡辺,000002,B（残置）
001487,株式会社ｶﾞﾙﾏｯｸｽｴﾝﾀｰﾌﾟﾗｲｽﾞ,,,,
001488,株式会社日本ﾛｼﾞｽﾃｨｸｽﾌｫｰﾙﾄﾞ総合研究所,000002,渡辺,000001,A（事業）
001489,リサイクルＳＨＯＰ　スピードワゴン,000006,川部,000003,C（解体）
00167X,株式会社ｼﾌﾞﾔｴｺｸﾘｰﾝｻｰﾋﾞｽ,000006,川部,000002,B（残置）
00169X,有限会社ｱｵｷ商会,000005,今村（紀）,000002,B（残置）
00188K,株式会社ｽﾃｱ,000008,新木場工場,,
00193K,ﾘﾗｲｱﾌﾞﾙ株式会社,,,000003,C（解体）
00200X,株式会社高木運輸,000006,川部,000001,A（事業）
00228K,株式会社三洋ｴｸｽﾌﾟﾚｽ,000002,渡辺,000002,B（残置）
00234K,有限会社ｵﾌｨｽﾋﾞﾙﾄﾞ,000002,渡辺,000002,B（残置）
00239K,東瀝青建設株式会社,000008,新木場工場,,
00253K,有限会社野口興業,000008,新木場工場,000001,A（事業）
00268K,宮坂運送株式会社,000008,新木場工場,000002,B（残置）
00279K,TREｶﾞﾗｽ株式会社,000008,新木場工場,,
00294K,株式会社まごころ清掃社,000008,新木場工場,000005,E（中・積)
00312K,日盛運輸株式会社,000008,新木場工場,000005,E（中・積)
00335K,株式会社I ･ S ｱｲ･ｴｽ,000008,新木場工場,000005,E（中・積)
00373X,株式会社Tsukasyo,000007,小林,000003,C（解体）
00388X,株式会社榮建設,000007,小林,000002,B（残置）
00399X,市ﾉ沢商店,000002,渡辺,000002,B（残置）
00402X,株式会社S-tro,000007,小林,000002,B（残置）
00434X,株式会社ｺｺﾛｾｲﾘ,000002,渡辺,000002,B（残置）
00444X,S･ｲﾝﾀﾞ ｳｴｽﾄ,000007,小林,000002,B（残置）
00445X,砂子興業,000007,小林,000003,C（解体）
00509X,青木ｻｰﾋﾞｽ(入沢勝),000002,渡辺,000002,B（残置）
00518X,株式会社ｴﾘ･ｵ･ｴﾗ,000007,小林,000002,B（残置）
00537X,便利屋BACK UP,000007,小林,000002,B（残置）
00564K,千葉興産株式会社,000013,かねたや,,
00600X,On Earth株式会社,000007,小林,000002,B（残置）
00612X,株式会社AIIN 愛英社,000002,渡辺,000003,C（解体）
00661X,株式会社深禄産業,000002,渡辺,000003,C（解体）
00725X,株式会社ﾌﾟﾛﾒﾛ･ｴﾑ,000005,今村（紀）,000003,C（解体）
00801K,株式会社CVC,000008,新木場工場,000003,C（解体）
00808K,株式会社Y-maxx,000008,新木場工場,,
00815X,株式会社ﾃｨｱﾝﾄﾞﾃｨｺｰﾎﾟﾚｰｼｮﾝ,000006,川部,000004,D（建設）
00826K,東京紙業株式会社,000008,新木場工場,000005,E（中・積)
00857K,有限会社ﾐｯｸ,000008,新木場工場,000004,D（建設）
00896X,【売掛】合同会社富山,000004,山本,000003,C（解体）
00899X,【売掛】合同会社白湖,000004,山本,000003,C（解体）
00901X,株式会社 ｲｲﾀﾞ工業,000004,山本,000003,C（解体）
00928K,株式会社ｼｪﾉﾝﾋﾞｰ,,,000002,B（残置）
00933X,【売掛】ｸﾘｴｲｼｮﾝ,000007,小林,000002,B（残置）
00938X,津波古運送,000002,渡辺,000003,C（解体）
00950X,ｱｰﾙﾂｰ,000006,川部,000002,B（残置）
00954X,ﾊﾘｰｽﾞﾀﾞｲﾅﾐｯｸｽ合同会社,000007,小林,000002,B（残置）
00968K,有限会社朝倉商店,000002,渡辺,000001,A（事業）
00980K,ｾｲｺｰ産業東京株式会社,000008,新木場工場,,
01004K,株式会社浜屋,000008,新木場工場,,
01021K,株式会社ｵﾈｽﾄ･ﾜﾝ,000008,新木場工場,000002,B（残置）
01022K,株式会社ｻﾝ･ﾃｸﾉ,000008,新木場工場,,
01121X,有限会社ﾌﾗｯﾌﾟ,000006,川部,000002,B（残置）
01207X,株式会社ﾊﾘｼｽﾃﾑ,000007,小林,000003,C（解体）
01284K,株式会社ｱｽﾄﾛｽﾞ,,,000004,D（建設）
01387K,株式会社北総運輸,000008,新木場工場,000006,F（他）
01431X,BeMANAGEMENT合同会社,000007,小林,000002,B（残置）
999997,テスト用,,,,
999998,　　,,,,
999999,　　,,,,
