date,total_customer_count,fixed_customer_count,fixed_customer_ratio
2024-09-04,55,31,0.563636
2024-09-05,61,31,0.508197
2024-09-06,61,36,0.590164
2024-09-07,50,30,0.6
2024-09-09,49,29,0.591837
2024-09-10,66,36,0.545455
2024-09-11,64,31,0.484375
2024-09-12,64,31,0.484375
2024-09-13,58,36,0.62069
2024-09-14,55,29,0.527273
2024-09-15,35,10,0.285714
2024-09-16,43,18,0.418605
2024-09-17,67,37,0.552239
2024-09-18,66,31,0.469697
2024-09-19,57,31,0.54386
2024-09-20,63,36,0.571429
2024-09-21,50,30,0.6
2024-09-22,26,12,0.461538
2024-09-23,47,17,0.361702
2024-09-24,63,36,0.571429
2024-09-25,67,31,0.462687
2024-09-26,71,31,0.43662
2024-09-27,66,37,0.560606
2024-09-28,51,30,0.588235
2024-09-29,29,14,0.482759
2024-09-30,64,32,0.5
2024-10-01,65,39,0.6
2024-10-02,51,31,0.607843
2024-10-03,55,31,0.563636
2024-10-04,60,36,0.6
2024-10-05,47,29,0.617021
2024-10-06,25,11,0.44
2024-10-07,51,30,0.588235
2024-10-08,57,37,0.649123
2024-10-09,48,32,0.666667
2024-10-10,57,31,0.54386
2024-10-11,54,36,0.666667
2024-10-12,51,29,0.568627
2024-10-14,48,21,0.4375
2024-10-15,63,37,0.587302
2024-10-16,61,31,0.508197
2024-10-17,61,31,0.508197
2024-10-18,64,36,0.5625
2024-10-19,58,29,0.5
2024-10-20,29,13,0.448276
2024-10-21,52,29,0.557692
2024-10-22,60,38,0.633333
2024-10-23,56,30,0.535714
2024-10-24,57,32,0.561404
2024-10-25,67,38,0.567164
2024-10-26,50,30,0.6
2024-10-27,28,10,0.357143
2024-10-28,54,31,0.574074
2024-10-29,68,39,0.573529
2024-10-30,62,34,0.548387
2024-10-31,62,33,0.532258
2024-11-01,60,36,0.6
2024-11-02,48,29,0.604167
2024-11-03,37,17,0.459459
2024-11-04,40,17,0.425
2024-11-05,66,38,0.575758
2024-11-06,53,31,0.584906
2024-11-07,55,33,0.6
2024-11-08,65,36,0.553846
2024-11-09,56,32,0.571429
2024-11-11,56,32,0.571429
2024-11-12,64,43,0.671875
2024-11-13,55,32,0.581818
2024-11-14,59,34,0.576271
2024-11-15,61,36,0.590164
2024-11-16,55,31,0.563636
2024-11-17,28,13,0.464286
2024-11-18,49,36,0.734694
2024-11-19,70,47,0.671429
2024-11-20,58,38,0.655172
2024-11-21,57,35,0.614035
2024-11-22,63,41,0.650794
2024-11-23,43,30,0.697674
2024-11-24,23,14,0.608696
2024-11-25,53,33,0.622642
2024-11-26,61,42,0.688525
2024-11-27,55,33,0.6
2024-11-28,52,34,0.653846
2024-11-29,60,39,0.65
2024-11-30,51,31,0.607843
2024-12-01,30,13,0.433333
2024-12-02,54,30,0.555556
2024-12-03,67,41,0.61194
2024-12-04,56,33,0.589286
2024-12-05,56,35,0.625
2024-12-06,59,37,0.627119
2024-12-07,49,32,0.653061
2024-12-08,31,14,0.451613
2024-12-09,54,32,0.592593
2024-12-10,60,42,0.7
2024-12-11,63,35,0.555556
2024-12-12,64,41,0.640625
2024-12-13,62,40,0.645161
2024-12-14,56,34,0.607143
2024-12-15,25,12,0.48
2024-12-16,62,30,0.483871
2024-12-17,75,44,0.586667
2024-12-18,59,35,0.59322
2024-12-19,67,38,0.567164
2024-12-20,58,40,0.689655
2024-12-21,52,31,0.596154
2024-12-22,32,15,0.46875
2024-12-23,58,30,0.517241
2024-12-24,72,47,0.652778
2024-12-25,79,42,0.531646
2024-12-26,70,38,0.542857
2024-12-27,81,51,0.62963
2024-12-28,73,41,0.561644
2025-01-06,45,31,0.688889
2025-01-07,56,46,0.821429
2025-01-08,58,43,0.741379
2025-01-09,54,38,0.703704
2025-01-10,58,42,0.724138
2025-01-11,51,40,0.784314
2025-01-12,22,12,0.545455
2025-01-13,42,23,0.547619
2025-01-14,51,40,0.784314
2025-01-15,55,39,0.709091
2025-01-16,58,41,0.706897
2025-01-17,57,40,0.701754
2025-01-18,48,31,0.645833
2025-01-19,31,19,0.612903
2025-01-20,49,34,0.693878
2025-01-21,62,42,0.677419
2025-01-22,56,43,0.767857
2025-01-23,56,38,0.678571
2025-01-24,54,42,0.777778
2025-01-25,54,35,0.648148
2025-01-26,26,14,0.538462
2025-01-27,51,37,0.72549
2025-01-28,56,45,0.803571
2025-01-29,58,41,0.706897
2025-01-30,59,38,0.644068
2025-01-31,59,38,0.644068
2025-02-01,46,31,0.673913
2025-02-02,23,11,0.478261
2025-02-03,48,33,0.6875
2025-02-04,61,43,0.704918
2025-02-05,51,36,0.705882
2025-02-06,56,33,0.589286
2025-02-07,51,39,0.764706
2025-02-08,50,30,0.6
2025-02-09,24,11,0.458333
2025-02-10,50,37,0.74
2025-02-11,40,22,0.55
2025-02-12,50,35,0.7
2025-02-13,65,40,0.615385
2025-02-14,55,43,0.781818
2025-02-15,49,41,0.836735
2025-02-16,33,22,0.666667
2025-02-17,61,33,0.540984
2025-02-18,67,42,0.626866
2025-02-19,55,37,0.672727
2025-02-20,58,38,0.655172
