date,reserve_count,reserve_sum,fixed_ratio
2024-09-27,1.0,91.0,56.0
2024-09-28,1.0,70.0,41.0
2024-09-29,1.0,48.0,29.0
2024-09-30,1.0,89.0,49.0
2024-10-01,1.0,87.0,51.0
2024-10-02,1.0,71.0,43.0
2024-10-03,1.0,74.0,47.0
2024-10-04,1.0,77.0,52.0
2024-10-05,1.0,68.0,45.0
2024-10-06,1.0,43.0,25.0
2024-10-07,1.0,68.0,47.0
2024-10-08,1.0,79.0,56.0
2024-10-09,1.0,66.0,48.0
2024-10-10,1.0,80.0,52.0
2024-10-11,1.0,79.0,55.0
2024-10-12,1.0,67.0,42.0
2024-10-14,1.0,82.0,46.0
2024-10-15,1.0,85.0,53.0
2024-10-16,1.0,80.0,48.0
2024-10-17,1.0,83.0,47.0
2024-10-18,1.0,95.0,53.0
2024-10-19,1.0,81.0,48.0
2024-10-20,1.0,58.0,27.0
2024-10-21,1.0,79.0,43.0
2024-10-22,1.0,94.0,59.0
2024-10-23,1.0,92.0,53.0
2024-10-24,1.0,82.0,55.0
2024-10-25,1.0,88.0,53.0
2024-10-26,1.0,68.0,48.0
2024-10-27,1.0,58.0,25.0
2024-10-28,1.0,76.0,47.0
2024-10-29,1.0,92.0,57.0
2024-10-30,1.0,81.0,50.0
2024-10-31,1.0,83.0,47.0
2024-11-01,1.0,76.0,50.0
2024-11-02,1.0,70.0,45.0
2024-11-03,1.0,60.0,35.0
2024-11-04,1.0,67.0,35.0
2024-11-05,1.0,83.0,49.0
2024-11-06,1.0,70.0,43.0
2024-11-07,1.0,73.0,44.0
2024-11-08,1.0,97.0,58.0
2024-11-09,1.0,82.0,53.0
2024-11-11,1.0,84.0,52.0
2024-11-12,1.0,85.0,62.0
2024-11-13,1.0,71.0,46.0
2024-11-14,1.0,83.0,53.0
2024-11-15,1.0,83.0,53.0
2024-11-16,1.0,82.0,50.0
2024-11-17,1.0,48.0,23.0
2024-11-18,1.0,73.0,58.0
2024-11-19,1.0,95.0,69.0
2024-11-20,1.0,72.0,49.0
2024-11-21,1.0,80.0,56.0
2024-11-22,1.0,84.0,57.0
2024-11-23,1.0,95.0,65.0
2024-11-24,1.0,43.0,28.0
2024-11-25,1.0,76.0,52.0
2024-11-26,1.0,90.0,63.0
2024-11-27,1.0,84.0,56.0
2024-11-28,1.0,78.0,55.0
2024-11-29,1.0,80.0,55.0
2024-11-30,1.0,88.0,51.0
2024-12-01,1.0,48.0,26.0
2024-12-02,1.0,76.0,47.0
2024-12-03,1.0,102.0,70.0
2024-12-04,1.0,82.0,50.0
2024-12-05,1.0,90.0,63.0
2024-12-06,1.0,79.0,52.0
2024-12-07,1.0,98.0,76.0
2024-12-08,1.0,51.0,31.0
2024-12-09,1.0,73.0,46.0
2024-12-10,1.0,83.0,60.0
2024-12-11,1.0,82.0,49.0
2024-12-12,1.0,89.0,60.0
2024-12-13,1.0,88.0,59.0
2024-12-14,1.0,98.0,73.0
2024-12-15,1.0,38.0,23.0
2024-12-16,1.0,93.0,54.0
2024-12-17,1.0,112.0,73.0
2024-12-18,1.0,88.0,56.0
2024-12-19,1.0,105.0,67.0
2024-12-20,1.0,93.0,66.0
2024-12-21,1.0,95.0,68.0
2024-12-22,1.0,58.0,36.0
2024-12-23,1.0,93.0,50.0
2024-12-24,1.0,109.0,71.0
2024-12-25,1.0,113.0,65.0
2024-12-26,1.0,111.0,69.0
2024-12-27,1.0,119.0,75.0
2024-12-28,1.0,95.0,60.0
2025-01-06,1.0,61.0,44.0
2025-01-07,1.0,77.0,66.0
2025-01-08,1.0,80.0,60.0
2025-01-09,1.0,83.0,62.0
2025-01-10,1.0,92.0,73.0
2025-01-11,1.0,74.0,60.0
2025-01-12,1.0,41.0,24.0
2025-01-13,1.0,74.0,43.0
2025-01-14,1.0,76.0,60.0
2025-01-15,1.0,80.0,58.0
2025-01-16,1.0,94.0,69.0
2025-01-17,1.0,95.0,70.0
2025-01-18,1.0,76.0,49.0
2025-01-19,1.0,46.0,29.0
2025-01-20,1.0,72.0,52.0
2025-01-21,1.0,86.0,59.0
2025-01-22,1.0,82.0,68.0
2025-01-23,1.0,86.0,65.0
2025-01-24,1.0,93.0,73.0
2025-01-25,1.0,83.0,56.0
2025-01-26,1.0,44.0,24.0
2025-01-27,1.0,79.0,60.0
2025-01-28,1.0,99.0,76.0
2025-01-29,1.0,77.0,57.0
2025-01-30,1.0,77.0,53.0
2025-01-31,1.0,78.0,54.0
2025-02-01,1.0,66.0,50.0
2025-02-02,1.0,36.0,18.0
2025-02-03,1.0,72.0,51.0
2025-02-04,1.0,85.0,62.0
2025-02-05,1.0,69.0,52.0
2025-02-06,1.0,77.0,52.0
2025-02-07,1.0,70.0,55.0
2025-02-08,1.0,90.0,68.0
2025-02-09,1.0,44.0,26.0
2025-02-10,1.0,67.0,49.0
2025-02-11,1.0,68.0,44.0
2025-02-12,1.0,73.0,52.0
2025-02-13,1.0,85.0,56.0
